"filename", "language", "Markdown", "Dart", "YAML", "JSON", "HTML", "Swift", "C++", "XML", "Java Properties", "comment", "blank", "total"
"/media/username/harddrive/Projects/vee/lib/features/home/presentation/screens/home_screen.dart", "Dart", 0, 60, 0, 0, 0, 0, 0, 0, 0, 68, 7, 135
"/media/username/harddrive/Projects/vee/lib/features/home/presentation/widgets/custom_app_bar.dart", "Dart", 0, 93, 0, 0, 0, 0, 0, 0, 0, 6, 6, 105
"/media/username/harddrive/Projects/vee/lib/features/home/presentation/widgets/home_list_view.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"/media/username/harddrive/Projects/vee/lib/features/home/presentation/widgets/home_trip_card.dart", "Dart", 0, 28, 0, 0, 0, 0, 0, 0, 0, 1, 3, 32
"/media/username/harddrive/Projects/vee/lib/features/home/presentation/widgets/start_button.dart", "Dart", 0, 28, 0, 0, 0, 0, 0, 0, 0, 1, 5, 34
"/media/username/harddrive/Projects/vee/lib/features/notifications/presentation/cubit/notifications_cubit.dart", "Dart", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/media/username/harddrive/Projects/vee/lib/features/notifications/presentation/cubit/notifications_state.dart", "Dart", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"/media/username/harddrive/Projects/vee/lib/features/notifications/presentation/screens/notification_screen.dart", "Dart", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 4, 44
"/media/username/harddrive/Projects/vee/lib/features/notifications/presentation/widgets/app_notification.dart", "Dart", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 3, 35
"/media/username/harddrive/Projects/vee/lib/features/notifications/presentation/widgets/notification_box.dart", "Dart", 0, 41, 0, 0, 0, 0, 0, 0, 0, 3, 3, 47
"/media/username/harddrive/Projects/vee/lib/features/notifications/presentation/widgets/notification_icon.dart", "Dart", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"/media/username/harddrive/Projects/vee/lib/features/onboarding/presentation/screens/onboarding_screen.dart", "Dart", 0, 38, 0, 0, 0, 0, 0, 0, 0, 3, 4, 45
"/media/username/harddrive/Projects/vee/lib/features/onboarding/presentation/widgets/get_started.dart", "Dart", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"/media/username/harddrive/Projects/vee/lib/features/onboarding/presentation/widgets/on_boarding_desc.dart", "Dart", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/media/username/harddrive/Projects/vee/lib/features/onboarding/presentation/widgets/on_boarding_icon.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"/media/username/harddrive/Projects/vee/lib/features/onboarding/presentation/widgets/on_boarding_welcome.dart", "Dart", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"/media/username/harddrive/Projects/vee/lib/features/profile/presentation/cubit/profile_cubit.dart", "Dart", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12
"/media/username/harddrive/Projects/vee/lib/features/profile/presentation/cubit/profile_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 11
"/media/username/harddrive/Projects/vee/lib/features/profile/presentation/screens/profile_screen.dart", "Dart", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"/media/username/harddrive/Projects/vee/lib/features/profile/presentation/widgets/back_button.dart", "Dart", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"/media/username/harddrive/Projects/vee/lib/features/profile/presentation/widgets/label.dart", "Dart", 0, 25, 0, 0, 0, 0, 0, 0, 0, 4, 4, 33
"/media/username/harddrive/Projects/vee/lib/features/profile/presentation/widgets/profile_down_button.dart", "Dart", 0, 50, 0, 0, 0, 0, 0, 0, 0, 4, 3, 57
"/media/username/harddrive/Projects/vee/lib/features/profile/presentation/widgets/profile_field.dart", "Dart", 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 4, 40
"/media/username/harddrive/Projects/vee/lib/features/profile/presentation/widgets/profile_form.dart", "Dart", 0, 85, 0, 0, 0, 0, 0, 0, 0, 3, 8, 96
"/media/username/harddrive/Projects/vee/lib/features/profile/presentation/widgets/profile_pic.dart", "Dart", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 3, 41
"/media/username/harddrive/Projects/vee/lib/main.dart", "Dart", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/media/username/harddrive/Projects/vee/pubspec.yaml", "YAML", 0, 0, 65, 0, 0, 0, 0, 0, 0, 3, 8, 76
"/media/username/harddrive/Projects/vee/test/widget_test.dart", "Dart", 0, 17, 0, 0, 0, 0, 0, 0, 0, 10, 6, 33
"/media/username/harddrive/Projects/vee/web/index.html", "HTML", 0, 0, 0, 0, 19, 0, 0, 0, 0, 15, 5, 39
"/media/username/harddrive/Projects/vee/web/manifest.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 1, 36
"Total", "-", 37, 2060, 76, 192, 19, 19, 1, 131, 8, 296, 498, 3337
